fs,loss
-2097581810,0.03648143065603156
-2080801423,0.0
-2012900128,0.0
-1991890117,0.012719212686614523
-1982073024,0.0
-1928826983,0.016906027386828167
-1831630628,0.0
-1831240827,0.009429421535758086
-1678655183,0.05991464138031006
-1622839981,0.0
-1584360744,0.0
-1535781493,0.012573649485905966
-1459678443,0.0
-1447599021,0.0
-1388255675,0.025324959445882728
-1167950182,0.0
-993550030,0.0
-910079574,0.004228566961335431
-885811873,0.494864543279012
-802871442,0.026841074955172656
-744793937,0.0
-709484285,0.527488697977627
-680379475,0.07156188620461358
-677260616,0.0037756473460095995
-675870913,0.0
-595026657,0.0
-575957182,0.030188336516871597
-488742175,0.25421382359095984
-433191473,0.010798171015069037
-427208709,0.005709281674137822
-379958762,0.006566801622732362
-337957417,0.007981649599969387
-195594584,0.0
-170957705,0.0
-128493435,0.0
-42908418,0.0
31318540,0.009187356285426928
572864360,0.0
767041607,0.002742852737654501
805774395,0.0
855414531,0.0
914852577,0.0
991209701,0.0
1039395806,0.0
1057419857,0.0
1059189362,0.013223541717903287
1084577692,0.0
1168754743,0.0
1227085987,0.0
1309572083,0.025672117869059246
1336070322,0.0
1595905862,0.0
1644873975,0.02888113260269165
1653241945,0.0
1693882415,0.07923976249165005
1743226342,0.002777158397517792
1869121075,0.0030951536338747914
1904787667,0.015597981841940629
